"","Subgroup","Year","total_person","PM25_person","O3_person"
"164","High HDI",2003,1034719812.51048,1032046242.08587,767871330.470919
"165","High HDI",2004,922980108.286736,908920910.705176,619284244.790362
"166","High HDI",2005,809144814.476595,799168492.536765,575937679.887321
"167","High HDI",2006,999251543.780322,990951536.388995,692985853.015267
"168","High HDI",2007,917812039.022569,911001035.129286,701741484.181093
"169","High HDI",2008,982337000.888572,979694181.82543,758365957.005069
"170","High HDI",2009,913941195.956196,909521354.049891,596639286.482031
"171","High HDI",2010,833362708.573402,824900510.593563,643088279.436572
"172","High HDI",2011,870162151.565367,865966492.909504,667243293.045564
"173","High HDI",2012,937655799.52105,930645142.907007,673511102.910957
"174","High HDI",2013,784609917.71125,778111158.864323,566698157.588229
"175","High HDI",2014,1023462723.48842,1021140237.38387,815615091.096918
"176","High HDI",2015,1180781491.69801,1175800555.94856,931647689.773381
"177","High HDI",2016,890756534.599151,885606291.245521,619782677.799758
"178","High HDI",2017,824831545.30445,818040582.177757,582423550.788992
"179","High HDI",2018,876029469.91198,868307403.464183,519759215.954386
"180","High HDI",2019,1177415750.79067,1161003387.4036,769822448.819821
"181","Very high HDI",2000,388369632.393486,375065473.046215,245042925.785665
"182","Very high HDI",2001,363403801.337551,356554009.593061,271187344.353424
"183","Very high HDI",2002,554865162.537877,512365865.146789,411324098.569913
"184","Very high HDI",2003,450862274.026598,433844806.858837,354022258.934717
"185","Very high HDI",2004,369241469.74092,354137151.727738,281016922.518812
"186","Very high HDI",2005,312863479.852902,289779927.273531,180116755.10476
"187","Very high HDI",2006,554075517.942561,527721852.954207,495681805.3329
"188","Very high HDI",2007,319122293.644181,286400983.186527,221878200.984378
"189","Very high HDI",2008,502897038.969705,460472178.949874,415456347.164873
"190","Very high HDI",2009,415931405.581814,368588283.416968,372290394.277065
"191","Very high HDI",2010,460073881.704906,363617271.836713,381475832.281751
"192","Very high HDI",2011,423605876.609623,339973139.120767,337918695.793033
"193","Very high HDI",2012,482375917.122661,407889370.97101,364771745.989836
"194","Very high HDI",2013,537480570.621819,417642068.685486,385574954.873566
"195","Very high HDI",2014,458681469.543208,379364295.995632,377440198.865581
"196","Very high HDI",2015,475341136.190103,383315244.446693,373794099.350477
"197","Very high HDI",2016,407229574.119041,338227189.562243,245340541.81375
"198","Very high HDI",2017,468155631.542829,293416525.400717,374435793.07014
"199","Very high HDI",2018,541546389.253417,490041360.801537,411775655.482093
"200","Very high HDI",2019,531040695.59214,383475561.586344,429068179.910586
"201","Low income",2000,201564606.585137,201564606.585137,187251901.723538
"202","Low income",2001,226076889.189899,224851411.804742,195444900.630479
"203","Low income",2002,234114764.729605,234114764.729605,184027725.48048
"204","Low income",2003,226249719.442325,226249719.442325,210841791.694211
"205","Low income",2004,229337351.313396,229337351.313396,183664233.747326
"206","Low income",2005,227364828.219924,225055817.441172,210812819.895966
"207","Low income",2006,227301519.069139,227301519.069139,207410871.910693
"208","Low income",2007,221569354.744779,221569354.744779,191538258.276703
"209","Low income",2008,244790745.87314,244790745.87314,227376662.485113
"210","Low income",2009,241182924.33761,241182924.33761,226273159.811945
"211","Low income",2010,239688176.966056,239688176.966056,224767262.523971
"212","Low income",2011,234648451.522885,234648451.522885,210022135.717226
"213","Low income",2012,263829465.861136,263829465.861136,252723429.880169
"214","Low income",2013,277345200.983117,277345200.983117,261452114.373348
"215","Low income",2014,279299913.806524,279299913.806524,262411805.812244
"216","Low income",2015,289119241.185816,289119241.185816,272466284.152885
"217","Low income",2016,280039835.865556,280039835.865556,258458405.090415
"218","Low income",2017,285679884.433898,285679884.433898,269725651.632383
"219","Low income",2018,309026403.781443,309026403.781443,278869908.29782
"220","Low income",2019,310625948.862721,310625948.862721,287516945.314309
"221","Lower middle income",2000,517316901.8176,517234455.109423,407564170.463156
"222","Lower middle income",2001,486267679.106763,485660271.181106,378192341.741451
"223","Lower middle income",2002,598960512.411613,597750645.480962,401730711.394629
"224","Lower middle income",2003,555095403.480904,555095403.480904,426725279.92141
"225","Lower middle income",2004,606032224.80067,605617850.349827,418688082.868543
"226","Lower middle income",2005,572680066.32018,572524035.026379,517817844.401556
"227","Lower middle income",2006,596069600.851805,595985713.3316,416861685.992243
"228","Lower middle income",2007,555926409.923731,555898182.390818,422887999.721475
"229","Lower middle income",2008,470951103.224786,470843253.606011,362662018.666034
"230","Lower middle income",2009,948611202.840113,948502925.793038,778430644.630296
"231","Lower middle income",2010,698276851.21999,698237818.878679,599846036.904891
"232","Lower middle income",2011,468082134.581917,467995386.873524,304254513.436986
"233","Lower middle income",2012,572106559.912143,572106559.912143,444374254.046273
"234","Lower middle income",2013,568898630.632996,568748955.118448,444302804.889898
"235","Lower middle income",2014,579338666.96925,579338666.96925,410356266.629158
"236","Lower middle income",2015,696734283.340942,696730449.363985,471527130.144575
"237","Lower middle income",2016,717036621.479641,717024740.155582,581557505.504776
"238","Lower middle income",2017,594859962.083556,594590810.566694,421681245.167865
"239","Lower middle income",2018,563553263.051053,563509088.761091,374345809.134151
"240","Lower middle income",2019,731506897.768055,730474493.029001,474404317.124726
"241","Upper middle income",2000,833049988.338823,829099021.452419,578405964.626293
"242","Upper middle income",2001,799955705.459292,791319505.73673,521688501.418291
"243","Upper middle income",2002,897879837.246143,891605633.275162,658355488.683611
"244","Upper middle income",2003,1017108213.98923,1014348024.02628,769445365.029102
"245","Upper middle income",2004,909656089.060148,895355310.380993,640023966.419646
"246","Upper middle income",2005,879426511.018374,869595811.898955,596599917.65033
"247","Upper middle income",2006,1058708436.84156,1050413433.18815,836761513.544624
"248","Upper middle income",2007,943339401.028889,936504774.602916,706203416.864048
"249","Upper middle income",2008,1071395867.37685,1066272319.41195,804928630.230194
"250","Upper middle income",2009,904917889.576378,900487488.694892,671910913.575751
"251","Upper middle income",2010,897950510.83665,889521104.233256,693172859.602642
"252","Upper middle income",2011,918377219.774129,914129060.146659,730473971.713439
"253","Upper middle income",2012,943125713.461081,935597863.449663,721742157.485917
"254","Upper middle income",2013,870035052.631558,863621734.134238,618931723.530353
"255","Upper middle income",2014,1041299992.99666,1038799666.07704,846914955.192317
"256","Upper middle income",2015,1135722058.51577,1130307628.03069,924286246.626634
"257","Upper middle income",2016,968278011.07052,963131711.318091,621347079.010021
"258","Upper middle income",2017,828353284.155514,821683815.418868,574485668.651559
"259","Upper middle income",2018,944094584.670138,936363132.938279,581647692.264678
"260","Upper middle income",2019,1183475351.51017,1167009280.33773,839449470.926073
"261","High income",2000,224642990.639852,211341451.506275,137341869.190323
"262","High income",2001,221396277.556434,214692374.454841,187573841.59543
"263","High income",2002,348302027.468022,305831522.716886,244102670.751374
"264","High income",2003,312432436.539814,295501588.910398,277244768.484374
"265","High income",2004,202439027.438556,187576896.096549,138351719.518574
"266","High income",2005,111630877.314457,88557731.5191077,59686858.7737757
"267","High income",2006,323936346.852258,297595947.684889,291804329.307631
"268","High income",2007,167996916.732031,135309054.695923,116503256.119797
"269","High income",2008,300403486.959821,260469711.718451,274733413.054895
"270","High income",2009,228848527.586722,181521553.25902,209281977.885782
"271","High income",2010,252529489.924652,156079121.021324,208523598.959884
"272","High income",2011,283902608.53684,200399961.259255,229820788.483559
"273","High income",2012,331590141.808601,257620208.829648,247838048.346552
"274","High income",2013,349903386.567807,230129119.796414,267579058.505192
"275","High income",2014,289731385.091094,210592052.358584,251807217.585674
"276","High income",2015,318270453.137834,226681884.312386,257704645.305959
"277","High income",2016,176087487.300303,107093040.466364,132573978.46727
"278","High income",2017,333166390.335588,158566903.056544,290551356.545539
"279","High income",2018,342565952.102917,291114483.225061,288529113.285034
"280","High income",2019,310268831.106498,163752164.879574,262192581.061518
"281","Global",2000,1776656696.59508,1759321366.73461,1310641100.11825
"282","Global",2001,1733704227.96357,1716530489.38373,1282900335.83052
"283","Global",2002,2079266787.76783,2029310645.10437,1488220839.78008
"284","Global",2003,2110891307.87703,2091200270.28466,1684257205.1291
"285","Global",2004,1947470539.07256,1917893254.60055,1380729228.64351
"286","Global",2005,1791897916.06957,1756529029.08225,1384918748.21202
"287","Global",2006,2207591917.12164,2172871894.49025,1754409899.64562
"288","Global",2007,1888836990.58812,1849285545.44373,1437133660.13142
"289","Global",2008,2087555919.11924,2042390746.29419,1669703968.41158
"290","Global",2009,2323654563.22301,2271788910.96675,1885898678.13902
"291","Global",2010,2089878224.23526,1984959416.38723,1727738563.82907
"292","Global",2011,1905016151.83782,1817178597.22437,1474572415.62402
"293","Global",2012,2113006950.25424,2031509167.26387,1668906382.84439
"294","Global",2013,2067232648.13694,1940895387.35368,1593310801.53923
"295","Global",2014,2189676029.40741,2108036369.75528,1771490558.05644
"296","Global",2015,2439930372.86486,2342923534.38698,1925985353.52039
"297","Global",2016,2143091358.90039,2068938730.98996,1594960277.62337
"298","Global",2017,2042067709.00177,1860529601.46922,1556452105.93154
"299","Global",2018,2159418054.27171,2100190959.37203,1523392522.98168
"300","Global",2019,2536129205.50619,2372086493.18662,1863597141.3764
